,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
met31,,,,,,,,,,,517143640,157328487,234078257,462246219,348570560,65958180,95778259,67432173,185830916,243601203,510821953,831381414,352983486,559619863,773491561,,,,,,,,,,,,,,,,945140447,989410264,1017584905,910668196,478137935,,490012498,,,
met32,,,,,,,,,,,,,,,,,,,,,545337.0702,,621639.9351,,,37494920.83,40645196.32,64608352.39,35358529.75,39736410.66,,,,,,,276276.8694,,,,,,,,,31624059.31,,34830589.39,,22889552.65
met33,94071.4098,68130.82921,,567594.3664,585003.5708,2750300.518,854353.5435,33641832.3,116216.0973,,22978891.92,83684.20676,366387.495,14442093.03,16048.64995,2130128.469,10609.7469,593497.5804,124440.4756,4951793.652,24141041.65,52594882.93,5217323.664,24611949.21,27326388.63,293794437.5,227027947.3,197142157.5,44156154.19,60149368.17,650726.7676,5422474.023,,736099.9352,187484444.8,4946275.654,110725535.2,10378797.28,20832453.35,23769193.97,6856535.428,75326.03762,14364396.46,57613886.74,22865483.36,34868747.25,23239.41997,76718603.11,,46590590.47
met34,,3512373.826,,,,,,,,,,,,,,936990.5621,10448932.46,,1460138.536,,,,400810.8923,,,,,,,,,,,,,,,,2028449.743,,,,,,,,,,,
met35,62124505.66,93554485.81,246860373.6,78477707.18,183143640.4,51623660.46,127552523.3,75859321.77,101316057.5,109168344.4,206712000.8,127948032.8,117357546.9,211737939.3,220056800.9,114231578.6,110610927.5,133040679.4,110646002.3,264031010.4,283914329.5,289888675,194400195.2,241254829.6,291901425.5,170693797.7,134057807.6,230184247.4,155619329.5,169438046.2,131934436.8,91338304.14,219834961.9,160858114.6,256211378.6,94460875.86,85208974.91,134616926,188084385.9,79714391.25,314935916.9,190435377,243076196.2,337306730.2,273097452.9,174979546.1,274262453,156255909.6,1927807.85,108047622.6
met36,98543,51303,7079,67568,11177,134682,30019,8110,207092,6322,2124391,1263168,6276965,,128048,94823,1605477,5783178,10573571,381936,4934,9485,15699,3121,7613,865195,6289,,1627977,,61499,174653,23379,16928,8212,102170,7358,2979,7084,,11534,7823,355154,20666,611944,447,21350,,14866,
met37,,,,,,,,,,,69999094,69646991,30564419,103413270,50691833,50338199,59052548,46726084,44021985,134561334,,,,,,,,,,,,,,,,,,,,,11639985,7478817,2818451,3069778,1827703,1201560,104854282,1186008,,315104
met38,50584.47982,,,86223.06895,,49112.67603,237478.9066,144895.0487,6734657.28,997725.2906,3205198.071,1454994.652,,1927738.578,2393202.637,6205623.114,4577920.266,3360373.307,4775135.17,29408531.12,350446.7139,15985.47342,247282.3491,153295.4786,221378.5433,4652767.883,3801925.778,5752386.775,4669023.473,7617015.531,,22769.55475,81430.99421,,74137.69067,434497.0808,803001.2137,1426476.085,1463045.736,627660.7394,185075.3038,716546.1389,88430.23494,482385.1763,97704.11247,2308187.292,2298924.08,3174117.825,499669.5616,2972375.925
met39,136761,73802,236773,104535,170422,1014021,4155486,1370699,6151166,4916446,195170,200926,29974,284660,398926,478579,604526,519912,375211,2067753,652309,445106,272415,83871,302494,4959769,5352122,7685617,3417753,8540151,53378,65068,313339,130598,446394,2151373,4200942,7084181,908611,2764682,345995,9979,317227,704491,4821,9946748,106776,3962953,9798,2679583
met40,,,,,,,,,,,,,,,,,,,,,,,,,,11386970.97,7585905.963,12644546.29,2553740.732,7755294.723,,,,,,,,,,,,,,,,5776448.495,,1780295.488,186278.4811,
met41,553305212,527042734,852155969,559992756,799797833,630009922,763788114,617482425,661553085,670044507,710033083,617325600,603300227,679496199,709981309,725332330,442191963,696113918,558573902,650993948,742375425,899062578,772585067,723743238,685782599,859916461,721050202,741375517,756056391,865166354,624252621,511282237,706563092,755518786,685500680,741795003,632077899,737486216,737092194,738620382,725811917,1011901874,1070086451,787531357,758036796,827001559,746887759,671495165,244670083,572895355
met42,26095876.27,23741614.89,78656375.05,22983878.21,67505224.76,23650485.57,82347982.82,34754517.32,60499440.76,132116238.6,45464990.18,31481708.7,10076471.42,75820140.69,72558565.11,91970759.77,29745088.39,25396438.65,26950091.96,103549577.9,87076558.65,111903569,32064190.22,113131264.3,173597401.4,49872383.99,31354793.45,83599145.31,36942390.63,64069773.25,27289221.7,28190015.61,58642719.81,28548579.1,95514170.17,37695627.86,44379128.35,160589128.4,42839095.92,34680879.35,215364450,96597038.75,134956133.5,250364236.3,96446578.56,63272266.07,266881267.6,96693310.58,141133682.4,17651204.43
met43,156276.2547,31890.14706,486839.4719,22988.77201,14964.6403,,20319333.1,6124896.616,23458788.05,28928401.47,131641.098,263354.2893,657.5281292,228564.9382,108567.1844,19019.98424,194513.9743,223539.071,336416.8485,34395.12048,56477.86343,60891.95558,102049.8115,99070.40567,287514.3054,13673806.16,12904179.58,15391070.7,10266437.13,29290005.62,1428.608792,19517.50894,116559.5958,202341.2604,747097.433,,4236202.423,11739438.77,432565.962,3437770.744,2105.06975,394512.1133,331935.1458,,132483.6987,9206721.972,168980.8851,629464.0956,464545.0168,5710164.289
